text,label_text
" hahahahaha, I have a day off",positive
watching the office......... also comedy gold,neutral
"I think my bicycle and I just freaked out a custodian, who wouldn`t have let me in the building if I didn`t let myself in with a key",negative
 How cool is that!   Thank you so much!   luv it!,positive
 well then happy mothers day  ahahahahahaha,positive
Got a day of painting,neutral
 mmm but nothing i can do. lucky ive got great friends like u to cheer me up,positive
 yeah wtf with that? my noggin doesn`t take to either,neutral
"Now that Hugh Laurie has mentioned he follows  on twitter, thousands of idiots think this () is him. IDIOTS!",negative
" Looks like you did the full Lincoln Marathon yesterday? That is awesome, the HM was tough for me",neutral
Time to turn the phone off and get a full nights sleep,neutral
Hey  its back!!    (robluketic live > http://ustre.am/2w5v),neutral
Friday night and still working...oh wait..it`s Saturday morning already,neutral
" haha! you`re so funny, Mikee .. you`re probably the only Mike I`ll ever like  *sad thoughts*",neutral
Just got home from another amazing night,positive
is cute,positive
Might be in the middle of a perfect weekend...,positive
: thanks!  and you being #80 just made my morning!,positive
 great show today,positive
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,neutral
chillen just started on twitter.,neutral
 oh @ work? poor boy,negative
" thank u, thank u, thank u for everything this weekend!! U guys are AMAZING. I`ll see u again at alpine! Thx for chattin w us 2!",positive
Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,negative
"[stapler haiku] Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I`m a stapler...",neutral
Tweeting from the tarmac at Cork Airport. Delayed,negative
****! tying run is on 2nd!  let`s hold em` Raiders!,negative
 cuz ima always late haha dammit she got me good,neutral
Beautiful Day..takn it down twitters  tell ALL mothers Happy Mothers Day,positive
haha wow there`s a song called `hit me on twitter` lmao. okay g`night,positive
 I`m sorryyyyyy  I`ll be home as fast as possible where we meeting at?,negative
"says new layout! Back to default Plurk themes, yay. Pero dumugo ilong ko kaka-tweak sa font ha.  http://plurk.com/p/rprmr",neutral
Wishing everyone a good night,positive
have been to portugal. and spain. and has a sore throat. scary?,negative
washed eye out but got water up my sleeve,neutral
 Amazing.  Thereby proving we cannot believe anything we see,positive
i feel sick after that oreo and cheesecake milkskake  lol,negative
"Good night all... Just set this twitter thing up. I`m very new at this, but I expect it to come in handy.",positive
 what time is our conference call??,neutral
_Star95 oh so you know how I feel then  **** representative for bank of america tried to make it sound like I did it. What a b ...,negative
" hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",neutral
Been job hunting for days. Media and non-media jobs. No lucky  Anyone know of anything???,neutral
"wish i could be in via funchal  yesterday, , , ,  were PERFECT, the best day in my life ****",positive
is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! >[_()\/3,positive
 GILF = grandmother.,neutral
" thanks clair, I haven`t watched it yet.",positive
May the 4th be with you. Happy Star Wars Day!   http://tinyurl.com/cjamjt #starwarsday #geek #dork #fb #awesome,positive
I hope everyone had a great weekend! I will be here on and off today as I have 2 important meetings today,positive
fucken tired as ****  it`s sunny.. good day? deffff,negative
is school over yet? Im ready for vacations already,neutral
 Yea...looks like it is...sorry abt nt gettin in touch..was hectic,negative
I love that Joan Rivers says it`s Family First.,positive
 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,negative
Nobody is up this early,neutral
 - wait for the third day!!,neutral
Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I`ll do the work tops,negative
 Knight...sweet dreams.,positive
  lol hopefully it`ll happen like next timee near the new album,neutral
"Well, I`m here, good morning/brunch-ish I took my exam, think I did good",positive
http://twitpic.com/4ws8w - Look who I brought home,neutral
 thanks so much! we love fanmail  talk to us anytime,positive
class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I`ll forget -_-,neutral
 just called me a cheeseburglar. He made me sad,negative
" I`m good, thanks.  Hope you`re enjoying the weekend!",positive
"sure miss Chick, tho...may he RIP!",negative
my head is hurting,negative
_I Yeah poor Yao! Hope u had fun looking at the Lakers JerseyZ haha! Enjoy ur time buddy !,positive
_Carroll i want a marty mcflyy t-shirt.,neutral
"want to read twilight all day, not work at the stupid cher function",neutral
On twikini while enjoying the sun,positive
 i think i have mine in hangers in the closet,neutral
OK guess I need to do actual work now.  How long until 5 pm? Oh no. I may have to ditch early.,negative
